ok	lemma	pos	rank	current	suggested	note
y	responder	verbo	1279	Dar una respuesta a lo que se pregunta o dice.	Decir algo a quien hace una pregunta.	agent fix: Used family word 'respuesta'.
y	diverso	adjetivo	1282	Que presenta diferencias con respecto a otros.	Que presenta diferencias con respecto a otros.	agent ok
y	droga	sustantivo	1283	Sustancia que produce efectos en el cuerpo y puede crear dependencia.	Sustancia que produce efectos en el cuerpo y puede crear dependencia.	agent ok
y	particular	adjetivo	1285	Que pertenece a una persona o cosa y no es común.	Que pertenece a una persona o cosa y no es común.	agent ok
y	ambiente	sustantivo	1296	Espacio que rodea a un ser vivo.	Espacio que rodea a un ser vivo.	agent ok
y	instalación	sustantivo	1297	Conjunto de elementos preparados para un servicio.	Conjunto de elementos preparados para un servicio.	agent ok
y	hotel	sustantivo	1298	Edificio con habitaciones para que viajen y duerman en él.	Edificio donde se paga por dormir y comer cuando se viaja.	agent ok
y	mínimo	adjetivo	1299	Que alcanza el grado más bajo posible en cantidad o valor.	Que alcanza el grado más bajo posible en cantidad o valor.	agent ok
y	acabar	verbo	1303	Dejar de suceder o existir algo.	Dejar de suceder o existir algo.	agent ok
y	debajo	adverbio	1304	En lugar inferior respecto a otro.	En lugar inferior respecto a otro.	agent ok
y	petróleo	sustantivo	1305	Líquido negro que sale de la tierra.	Líquido negro que sale de la tierra.	agent ok
y	organizar	verbo	1306	Preparar algo para que funcione bien.	Preparar algo para que funcione bien.	agent ok
y	labor	sustantivo	1308	Actividad que realiza una persona.	Actividad que realiza una persona.	agent ok
y	representante	sustantivo	1309	Persona que habla por un grupo.	Persona que habla por un grupo.	agent ok
y	arriba	adverbio	1310	En lugar superior respecto a otro.	En lugar superior respecto a otro.	agent ok
y	mandatario	sustantivo	1311	Persona que gobierna un país.	Persona que gobierna un país.	agent ok
y	financiero	adjetivo	1316	que tiene que ver con el dinero y su manejo.	Que tiene que ver con el dinero y su manejo.	agent fix: Starts with a lowercase letter.
y	exterior	sustantivo	1318	Zona fuera de un país.	Parte de fuera de algo.	agent fix: Gave only the political 'abroad' sense; basic is the outside of something.
y	nacer	verbo	1319	salir un ser vivo del cuerpo de su madre.	Salir un ser vivo del cuerpo de su madre.	agent fix: Starts with a lowercase letter.
y	alumno	sustantivo	1320	Persona que recibe enseñanza en un centro educativo.	Persona que recibe enseñanza en un centro educativo.	agent ok
y	reducción	sustantivo	1322	Disminución de tamaño cantidad o intensidad de algo.	Disminución del tamaño, la cantidad o la intensidad de algo.	agent fix: Missing comma in the list; ungrammatical.
y	natural	adjetivo	1323	que se produce sin intervención humana ni máquinas.	Que se produce sin intervención humana ni máquinas.	agent fix: Starts with a lowercase letter.
y	entrega	sustantivo	1324	acción de dar algo a quien debe tenerlo.	Acción de dar algo a quien debe tenerlo.	agent fix: Starts with a lowercase letter.
y	tratamiento	sustantivo	1325	conjunto de cuidados para mejorar una enfermedad.	Cuidados que da un médico para combatir una enfermedad.	agent fix: Lowercase start; 'mejorar una enfermedad' says the opposite of what is meant.
y	altura	sustantivo	1326	distancia desde un punto hasta su base.	Medida de algo desde abajo hasta arriba.	agent fix: Lowercase start; 'distancia desde un punto hasta su base' is unclear.
y	oficina	sustantivo	1327	Lugar donde se realiza trabajo de oficina.	Lugar donde se hace un trabajo con papeles o con ordenador.	agent ok
y	cerrar	verbo	1328	Mover una puerta para cubrir un hueco.	Hacer que algo abierto, como una puerta, no deje pasar.	agent ok
y	generación	sustantivo	1335	Grupo de personas nacidas en fechas próximas.	Grupo de personas que tienen más o menos la misma edad.	agent ok
y	quizás	adverbio	1336	Expresa duda o posibilidad sobre algo.	Expresa duda o posibilidad sobre algo.	agent ok
y	penal	adjetivo	1337	Que tiene que ver con las penas por delitos.	Que tiene que ver con los delitos y su castigo.	agent fix: Used family word 'penas'.
y	comida	sustantivo	1338	Alimento que las personas toman.	Alimento que las personas toman.	agent ok
y	directamente	adverbio	1339	De forma clara y sin personas en medio.	De forma clara y sin personas en medio.	agent ok
y	revista	sustantivo	1347	Publicación con artículos de muchos temas.	Publicación con artículos de muchos temas.	agent ok
y	totalmente	adverbio	1349	De manera completa y absoluta.	De manera completa y absoluta.	agent ok
y	deseo	sustantivo	1353	Impulso de conseguir algo.	Impulso de conseguir algo.	agent ok
y	transporte	sustantivo	1355	Medio para llevar personas o cosas.	Medio para llevar personas o cosas.	agent ok
y	memoria	sustantivo	1357	Capacidad de recordar sucesos pasados.	Capacidad de recordar sucesos pasados.	agent ok
y	diputado	sustantivo	1358	Miembro elegido de una cámara de leyes.	Miembro elegido de una cámara de leyes.	agent ok
y	empresario	sustantivo	1360	Persona que dirige una empresa.	Persona que dirige una empresa.	agent ok [family flag: empresa]
y	fiesta	sustantivo	1361	Reunión para celebrar algo y pasarlo bien.	Reunión de personas para celebrar algo y pasar un buen rato.	agent ok
y	colaboración	sustantivo	1362	Acción de trabajar con otros en algo.	Acción de trabajar con otros en algo.	agent ok
y	derrota	sustantivo	1363	Pérdida en una competición o batalla.	Pérdida en una competición o batalla.	agent ok
y	pantalla	sustantivo	1366	Superficie donde se ven imágenes.	Superficie donde se ven imágenes.	agent ok
y	superar	verbo	1367	Conseguir algo mejor que antes.	Ser mejor o más que otro, o vencer una dificultad.	agent fix: 'Conseguir algo mejor que antes' misses both exceed and overcome.
y	inmigrante	sustantivo	1368	Persona que llega a vivir a otro país.	Persona que llega a vivir a otro país.	agent ok
y	sentencia	sustantivo	1370	Decisión final de un juez.	Decisión final de un juez.	agent ok
y	delante	adverbio	1371	En la parte de adelante.	En el lugar que está frente a algo o alguien.	agent fix: Used family word 'adelante'.
y	producir	verbo	1373	Hacer o crear algo nuevo.	Hacer o crear algo nuevo.	agent ok
y	artículo	sustantivo	1374	Texto breve sobre un tema en un medio.	Texto breve sobre un tema en un medio.	agent ok
y	contacto	sustantivo	1375	Relación o comunicación con alguien.	Relación o comunicación con alguien.	agent ok
y	radio	sustantivo	1377	Medio que envía sonido por el aire.	Medio que envía sonido por el aire.	agent ok
y	afectar	verbo	1378	Causar un cambio negativo en algo.	Causar un cambio negativo en algo.	agent ok
y	cuál	pronombre	1380	Palabra que pregunta por una opción.	Se usa para preguntar por una persona o cosa entre varias.	agent fix: Started with 'Palabra que', which the rules forbid.
y	privado	adjetivo	1381	Que no es para todo el público.	Que no es para todo el público.	agent ok
y	aeropuerto	sustantivo	1382	Lugar con pistas para aviones.	Lugar con pistas para aviones.	agent ok
y	girar	verbo	1383	Moverse en círculo alrededor de un punto.	Moverse en círculo alrededor de un punto.	agent ok
y	personaje	sustantivo	1385	Persona importante o famosa en una historia.	Persona o ser que aparece en una historia, obra o película.	agent fix: Wrong: a character need not be important or famous. [family flag: persona]
y	regional	adjetivo	1389	Que pertenece a una zona dentro de un país.	Que pertenece a una zona dentro de un país.	agent ok
y	voluntad	sustantivo	1390	Fuerza interior que lleva a elegir o actuar.	Fuerza interior que lleva a elegir o actuar.	agent ok
y	propiedad	sustantivo	1391	Cosa que alguien posee de forma legal.	Cosa que alguien posee de forma legal.	agent ok
y	concluir	verbo	1394	Terminar algo que se estaba haciendo.	Terminar algo que se estaba haciendo.	agent ok
y	justo	adjetivo	1395	Que respeta la verdad y lo correcto.	Que respeta la verdad y lo correcto.	agent ok
y	aparecer	verbo	1397	Dejarse ver algo o alguien de forma rápida.	Dejarse ver algo o alguien que antes no se veía.	agent fix: 'de forma rápida' is wrong; appearing need not be quick.
y	completo	adjetivo	1398	Que tiene todas sus partes sin faltar ninguna.	Que tiene todas sus partes sin faltar ninguna.	agent ok
y	evento	sustantivo	1399	Hecho importante que ocurre en un lugar.	Hecho importante que ocurre en un lugar.	agent ok
y	animal	sustantivo	1401	Ser vivo que se mueve y come otros seres.	Ser vivo que se mueve y come otros seres.	agent ok
y	lanzar	verbo	1406	Tirar algo con fuerza hacia adelante.	Tirar algo con fuerza hacia adelante.	agent ok
y	ronda	sustantivo	1407	Serie de visitas o acciones en orden.	Serie de visitas o acciones en orden.	agent ok
y	consejero	sustantivo	1409	Persona que da consejos o ayuda a decidir.	Persona que da consejos o ayuda a decidir.	agent ok [family flag: consejos]
y	intento	sustantivo	1410	Acción de tratar de lograr algo.	Acción de tratar de lograr algo.	agent ok
y	advertir	verbo	1411	Llamar atención sobre un peligro.	Hacer saber a alguien que hay un peligro.	agent fix: Missing article ('Llamar atención'); ungrammatical.
y	motivo	sustantivo	1413	Razón que explica un hecho.	Razón que explica un hecho.	agent ok
y	probable	adjetivo	1414	Que es muy posible que ocurra.	Que es muy posible que ocurra.	agent ok
y	simplemente	adverbio	1416	De manera sencilla o sin más.	De manera sencilla o sin más.	agent ok
y	beneficio	sustantivo	1419	Ganancia o ventaja que se obtiene.	Ganancia o ventaja que se obtiene.	agent ok
y	canción	sustantivo	1420	Composición musical con letra para cantar.	Composición musical con letra para cantar.	agent ok
y	pérdida	sustantivo	1421	Hecho de no tener algo que se tenía antes.	Hecho de no tener algo que se tenía antes.	agent ok
y	coalición	sustantivo	1423	Unión de grupos para lograr un fin común.	Unión de grupos para lograr un fin común.	agent ok
y	preocupación	sustantivo	1424	Sentimiento de miedo ante un problema posible.	Sentimiento de miedo ante un problema posible.	agent ok
y	actriz	sustantivo	1425	Mujer que representa papeles en obras o películas.	Mujer que representa papeles en obras o películas.	agent ok
y	récord	sustantivo	1428	Mejor resultado logrado en una actividad.	Mejor resultado logrado en una actividad.	agent ok
y	desempleo	sustantivo	1429	Situación de quien no tiene trabajo.	Situación de quien no tiene trabajo.	agent ok
y	apuntar	verbo	1432	Dirigir algo hacia un objetivo concreto.	Dirigir algo hacia un objetivo concreto.	agent ok
y	cuadro	sustantivo	1433	Obra de arte hecha sobre una superficie.	Obra de arte hecha sobre una superficie.	agent ok
y	pretender	verbo	1434	Querer conseguir algo de forma fuerte.	Tener la intención de hacer o conseguir algo.	agent fix: 'de forma fuerte' is unnatural Spanish.
y	costa	sustantivo	1436	Línea donde el mar toca la tierra.	Línea donde el mar toca la tierra.	agent ok
y	distancia	sustantivo	1437	Espacio que separa dos lugares o cosas.	Espacio que separa dos lugares o cosas.	agent ok
y	herida	sustantivo	1441	Daño en la carne causado por golpe o corte.	Daño en la carne causado por golpe o corte.	agent ok
y	gas	sustantivo	1445	Sustancia que no es sólida ni agua.	Cuerpo que, como el aire, no es sólido ni líquido.	agent fix: Wrong: 'ni agua' should be 'ni líquido'.
y	trimestre	sustantivo	1447	Periodo de tres meses consecutivos.	Periodo de tres meses consecutivos.	agent ok
y	prácticamente	adverbio	1449	Casi por completo o en la realidad.	Casi por completo o en la realidad.	agent ok
y	extranjero	adjetivo	1452	Que pertenece a otro país.	Que pertenece a otro país.	agent ok
y	presentación	sustantivo	1455	Acto de mostrar algo a un público.	Acto de mostrar algo a un público.	agent ok
y	revolución	sustantivo	1456	Cambio violento en el gobierno de un país.	Cambio violento en el gobierno de un país.	agent ok
y	práctica	sustantivo	1457	Actividad que permite adquirir habilidad.	Actividad que permite adquirir habilidad.	agent ok
y	descenso	sustantivo	1458	Movimiento de un lugar alto a uno bajo.	Movimiento de un lugar alto a uno bajo.	agent ok
y	ritmo	sustantivo	1459	Velocidad con que se dan los hechos.	Velocidad con que se dan los hechos.	agent ok
y	presidencia	sustantivo	1461	Cargo de quien dirige un gobierno o entidad.	Cargo de quien dirige un gobierno o entidad.	agent ok
y	inmediato	adjetivo	1468	Que ocurre sin que pase tiempo entre medio.	Que ocurre sin que pase tiempo entre medio.	agent ok
y	terremoto	sustantivo	1469	Movimiento fuerte de la tierra que causa daños.	Movimiento fuerte de la tierra que causa daños.	agent ok
y	recorrido	sustantivo	1470	Distancia o camino que se cubre de un lugar a otro.	Distancia o camino que se cubre de un lugar a otro.	agent ok
y	crédito	sustantivo	1472	Dinero que se presta y se debe devolver.	Dinero que se presta y se debe devolver.	agent ok
y	entender	verbo	1475	Saber el significado de algo que se dice o lee.	Saber el significado de algo que se dice o lee.	agent ok
y	continuar	verbo	1476	Seguir haciendo algo que ya se estaba haciendo.	Seguir haciendo algo que ya se estaba haciendo.	agent ok
y	texto	sustantivo	1477	Conjunto de palabras que forman un mensaje.	Conjunto de palabras que forman un mensaje.	agent ok
y	carácter	sustantivo	1478	Forma particular de ser de una persona.	Forma particular de ser de una persona.	agent ok
y	intentar	verbo	1480	Trata de hacer algo que resulta difícil.	Tratar de hacer algo sin saber si se va a conseguir.	agent fix: Conjugated form instead of infinitive; "difícil" is not part of the meaning
y	dolor	sustantivo	1481	Sensación mala en el cuerpo por lesión o enfermedad.	Sensación mala en el cuerpo por lesión o enfermedad.	agent ok
y	presidencial	adjetivo	1483	Que tiene que ver con el presidente o su cargo.	Que tiene que ver con el presidente o su cargo.	agent ok [family flag: presidente]
y	policial	adjetivo	1486	Que tiene que ver con la policía o su trabajo.	Que tiene que ver con la policía o su trabajo.	agent ok [family flag: policia]
y	cita	sustantivo	1487	Encuentro acordado con otra persona en un lugar.	Encuentro acordado con otra persona en un lugar.	agent ok
y	aumentar	verbo	1488	Hace mayor la cantidad o el tamaño de algo.	Hacer mayor la cantidad o el tamaño de algo.	agent fix: Conjugated form "Hace" instead of infinitive
y	os	pronombre	1490	Forma que se usa para dirigirse a varias personas.	Señala a varias personas a quienes se habla cuando reciben la acción.	agent fix: Too vague: fits vosotros/ustedes; must show it is the object form
y	brasileño	adjetivo	1491	Natural o propio del país grande de sur.	Propio del país grande del sur donde se habla portugués.	agent fix: "de sur" ungrammatical; "país grande del sur" does not identify Brazil
y	canal	sustantivo	1492	Vía hecha por el hombre por donde pasa el agua.	Vía hecha por el hombre por donde pasa el agua.	agent ok
y	nación	sustantivo	1493	Grupo grande de personas con gobierno y territorio propio.	Grupo grande de personas con gobierno y territorio propio.	agent ok
y	defender	verbo	1496	Proteger algo o a alguien de un ataque.	Proteger algo o a alguien de un ataque.	agent ok
y	vivo	adjetivo	1499	Que tiene vida y no está muerto.	Que tiene vida y no está muerto.	agent ok
y	cualquiera	pronombre	1500	Persona o cosa sin importar cuál sea.	Persona o cosa sin importar cuál sea.	agent ok
y	probablemente	adverbio	1501	Con gran posibilidad de que ocurra.	Con gran posibilidad de que ocurra.	agent ok
y	regreso	sustantivo	1503	Acción de volver al lugar anterior.	Acción de volver al lugar anterior.	agent ok
y	avance	sustantivo	1504	Movimiento hacia adelante o progreso.	Movimiento hacia adelante o progreso.	agent ok
y	resolver	verbo	1505	Encontrar solución a un problema.	Encontrar solución a un problema.	agent ok
y	sorpresa	sustantivo	1507	Suceso que no se espera y causa gran alegría o miedo.	Suceso que no se espera y causa gran alegría o miedo.	agent ok
y	conocimiento	sustantivo	1508	Información que se tiene de algo.	Información que se tiene de algo.	agent ok
y	construir	verbo	1510	Hacer un edificio o una estructura con materiales.	Hacer un edificio o una estructura con materiales.	agent ok
y	culpa	sustantivo	1511	Responsabilidad por un error o un daño causado.	Responsabilidad por un error o un daño causado.	agent ok
y	recorte	sustantivo	1513	Reducción de gasto o de personal en una entidad.	Parte que se corta de algo o reducción de una cantidad.	agent fix: Only the news sense (budget/staff cuts); basic sense is a piece cut off
y	categoría	sustantivo	1516	Grupo en que se ponen cosas o personas similares.	Grupo en que se ponen cosas o personas similares.	agent ok
y	tribunal	sustantivo	1517	Lugar donde se decide sobre delitos o pleitos.	Grupo de jueces que decide sobre un caso; también, su edificio.	agent ok
y	operativo	sustantivo	1518	Acción preparada de fuerzas de seguridad o militares.	Acción preparada de fuerzas de seguridad o militares.	agent ok
y	emergencia	sustantivo	1520	Situación grave que exige respuesta rápida.	Situación grave que exige respuesta rápida.	agent ok
y	visión	sustantivo	1521	Capacidad de ver con los ojos.	Capacidad de ver con los ojos.	agent ok
y	margen	sustantivo	1522	Espacio en blanco alrededor de un texto escrito.	Espacio en blanco alrededor de un texto escrito.	agent ok
y	sala	sustantivo	1523	Habitación grande para reuniones o espectáculos.	Habitación grande para reuniones o espectáculos.	agent ok
y	valer	verbo	1524	Tener un objeto un precio o valor determinado.	Tener algo un precio o una importancia determinada.	agent fix: Uses family word "valor"
y	señor	sustantivo	1526	Hombre adulto al que se trata con respeto.	Hombre adulto al que se trata con respeto.	agent ok
y	pregunta	sustantivo	1528	Frase con la que se pide información a alguien.	Frase con la que se pide información a alguien.	agent ok
y	utilizar	verbo	1530	Usar un objeto o medio para un fin concreto.	Usar un objeto o medio para un fin concreto.	agent ok
y	carga	sustantivo	1532	Peso o mercancía que lleva un vehículo.	Cosas que lleva un vehículo o una persona.	agent ok
y	requerir	verbo	1534	Necesitar algo de forma obligada o urgente.	Necesitar algo como condición para hacer o lograr otra cosa.	agent fix: "urgente" is not part of the meaning
y	corto	adjetivo	1535	Que tiene poca extensión o duración.	Que tiene poca extensión o duración.	agent ok
y	ceremonia	sustantivo	1538	Acto formal y serio con reglas establecidas.	Acto serio que se hace siguiendo unas normas.	agent ok
y	consejo	sustantivo	1539	Opinión que se da a alguien para ayudar.	Opinión que se da a alguien para ayudar.	agent ok
y	vino	sustantivo	1540	Bebida con alcohol que se hace de la fruta de la vid.	Bebida con alcohol que se hace con el fruto de una planta.	agent ok
y	tropa	sustantivo	1542	Grupo de soldados que marcha junto.	Grupo de soldados que marcha junto.	agent ok
y	cultural	adjetivo	1543	Que tiene que ver con las costumbres de un pueblo.	Que tiene que ver con las costumbres de un pueblo.	agent ok
y	planeta	sustantivo	1544	Cuerpo grande que gira alrededor de una estrella.	Cuerpo grande que gira alrededor de una estrella.	agent ok
y	resultar	verbo	1545	Llegar a ser de cierta manera al final.	Llegar a ser de cierta manera al final.	agent ok
y	sexual	adjetivo	1547	Que tiene que ver con el acto de tener relaciones.	Que tiene que ver con el acto de tener relaciones.	agent ok
y	anual	adjetivo	1548	Que sucede una vez cada año.	Que sucede una vez cada año.	agent ok
y	comienzo	sustantivo	1549	Momento en que algo empieza a ocurrir.	Momento en que algo empieza a ocurrir.	agent ok
y	reconocimiento	sustantivo	1551	Acción de aceptar algo como verdadero.	Acción de admitir algo o de valorar lo que alguien hizo.	agent fix: "aceptar como verdadero" misses the common sense of acknowledging merit
y	crítica	sustantivo	1552	Opinión que dice algo malo de una persona o cosa.	Opinión que dice algo malo de una persona o cosa.	agent ok
y	duelo	sustantivo	1555	Encuentro entre dos personas que se enfrentan con armas.	Encuentro entre dos personas que se enfrentan con armas.	agent ok
y	vuelo	sustantivo	1558	Acción de moverse por el aire un ave o un avión.	Acción de moverse por el aire un ave o un avión.	agent ok
y	funcionar	verbo	1559	Hacer la actividad para la que algo se hace.	Hacer una máquina o un sistema el trabajo que debe hacer.	agent fix: Unnatural, circular wording ("para la que algo se hace")
y	río	sustantivo	1563	Corriente grande de agua que va hacia el mar.	Corriente grande de agua que va hacia el mar.	agent ok
y	garantizar	verbo	1564	Asegurar que algo va a pasar o se va a cumplir.	Asegurar que algo va a pasar o se va a cumplir.	agent ok
y	simple	adjetivo	1565	Que tiene pocas partes o no es complicado.	Que tiene pocas partes o no es complicado.	agent ok
y	recuerdo	sustantivo	1566	Imagen o idea que se conserva del pasado.	Imagen o idea que se conserva del pasado.	agent ok
y	recientemente	adverbio	1569	En un momento cercano al presente.	En un momento cercano al presente.	agent ok
y	escribir	verbo	1570	Representar ideas o palabras con letras.	Representar ideas o palabras con letras.	agent ok
y	asesinato	sustantivo	1572	Acción de matar a una persona con intención.	Acción de matar a una persona con intención.	agent ok
y	especie	sustantivo	1573	Grupo de seres vivos con características comunes.	Grupo de seres vivos con características comunes.	agent ok
y	periódico	sustantivo	1575	Publicación con noticias que sale cada cierto tiempo.	Publicación con noticias que sale cada cierto tiempo.	agent ok
y	directo	adjetivo	1577	Que va de un punto a otro sin personas en medio.	Que va de un punto a otro sin pasar por otros lugares.	agent fix: "sin personas en medio" is misleading for the basic sense (no stops/detours)
y	paciente	sustantivo	1579	Persona que recibe atención médica por estar enferma.	Persona que recibe la atención de un médico.	agent ok
y	pieza	sustantivo	1580	Cada objeto que forma parte de un conjunto.	Cada objeto que forma parte de un conjunto.	agent ok
y	tonelada	sustantivo	1582	Medida de peso que es igual a mil kilos.	Medida de peso que es igual a mil kilos.	agent ok
y	entorno	sustantivo	1583	Espacio o medio que rodea a alguien o algo.	Espacio o medio que rodea a alguien o algo.	agent ok
y	proteger	verbo	1586	Evitar que alguien o algo reciba daño.	Evitar que alguien o algo reciba daño.	agent ok
y	escuchar	verbo	1587	Prestar atención a lo que se siente con el oído.	Prestar atención a un sonido o a lo que alguien dice.	agent fix: "lo que se siente con el oído" is unnatural Spanish
y	ganador	sustantivo	1588	Persona o equipo que vence en una competición.	Persona o equipo que vence en una competición.	agent ok
y	candidatura	sustantivo	1589	Propuesta de persona para ocupar un cargo.	Propuesta de una persona para ocupar un cargo.	agent fix: Missing article: "de persona" ungrammatical
y	negar	verbo	1590	Decir que algo no es cierto o no existe.	Decir que algo no es cierto o no existe.	agent ok
y	concierto	sustantivo	1593	Actuación musical ante un público.	Actuación musical ante un público.	agent ok
y	publicidad	sustantivo	1596	Información que promueve un producto o servicio.	Información que promueve un producto o servicio.	agent ok
y	vender	verbo	1597	Entregar algo a cambio de dinero.	Entregar algo a cambio de dinero.	agent ok
y	término	sustantivo	1598	Palabra o expresión con significado preciso.	Palabra o expresión con significado preciso.	agent ok
y	correo	sustantivo	1599	Sistema para enviar y recibir cartas.	Sistema para enviar y recibir cartas.	agent ok
y	manifestación	sustantivo	1600	Reunión pública para protestar o apoyar algo.	Reunión pública para protestar o apoyar algo.	agent ok
y	vicepresidente	sustantivo	1601	Persona que ocupa el segundo lugar después del presidente.	Persona que ocupa el segundo lugar después del presidente.	agent ok
y	pobreza	sustantivo	1603	Situación de quien no tiene bienes ni dinero.	Situación de quien no tiene bienes ni dinero.	agent ok
y	sostener	verbo	1604	Mantener algo en posición fija sin dejarlo caer.	Mantener algo en posición fija sin dejarlo caer.	agent ok
y	comercio	sustantivo	1605	Actividad de comprar y vender productos o servicios.	Actividad de comprar y vender productos o servicios.	agent ok
y	comicio	sustantivo	1609	Reunión para elegir representantes en una votación.	Elecciones en que la gente elige a sus representantes.	agent fix: Comicios are elections, not a "reunión"
y	ejército	sustantivo	1610	Grupo grande de soldados que defiende un país.	Grupo grande de soldados que defiende un país.	agent ok
y	original	adjetivo	1611	Que no es copia de otra cosa.	Que no es copia de otra cosa.	agent ok
y	audiencia	sustantivo	1612	Grupo de personas que ve un espectáculo.	Grupo de personas que ve un espectáculo.	agent ok
y	fundamental	adjetivo	1613	Que resulta esencial y necesario para algo.	Que resulta esencial y necesario para algo.	agent ok
y	comer	verbo	1614	Usar la boca para tomar alimentos y seguir vivo.	Tomar alimentos por la boca.	agent fix: "y seguir vivo" is odd and unnatural
y	pobre	adjetivo	1616	Que no tiene dinero ni bienes suficientes.	Que no tiene dinero ni bienes suficientes.	agent ok
y	musical	adjetivo	1617	Que tiene música o se refiere a la música.	Que tiene música o se refiere a la música.	agent ok [family flag: musica]
y	combate	sustantivo	1620	Lucha armada entre grupos enemigos.	Lucha armada entre grupos enemigos.	agent ok
y	novela	sustantivo	1621	Relato largo de ficción en libro.	Relato largo de ficción en libro.	agent ok
y	gratis	adjetivo	1623	Que no cuesta dinero.	Que no cuesta dinero.	agent ok
y	jamás	adverbio	1624	En ningún momento o ocasión.	En ningún momento o ocasión.	agent ok
y	carta	sustantivo	1626	Papel escrito que se envía a alguien.	Papel escrito que se envía a alguien.	agent ok
y	dirigente	sustantivo	1628	Persona que guía un grupo u organización.	Persona que guía un grupo u organización.	agent ok
y	carretera	sustantivo	1630	Vía ancha para vehículos entre poblaciones.	Vía ancha para vehículos entre poblaciones.	agent ok
y	rey	sustantivo	1631	Hombre que gobierna un país.	Hombre que gobierna un país por herencia de su familia.	agent fix: Too vague: fits a president; must say it is hereditary
y	robo	sustantivo	1632	Acción de tomar algo que no es suyo.	Acción de tomar algo que no es suyo.	agent ok
y	explosión	sustantivo	1633	Suceso que causa destrucción con ruido y fuerza grande.	Suceso que causa destrucción con ruido y fuerza grande.	agent ok
y	madrugada	sustantivo	1634	Horas que siguen a la medianoche.	Horas que siguen a la medianoche.	agent ok
y	actitud	sustantivo	1635	Manera de actuar ante personas o situaciones.	Manera de actuar ante personas o situaciones.	agent ok
y	dependencia	sustantivo	1636	Necesidad de algo o alguien para existir o actuar.	Necesidad de algo o alguien para existir o actuar.	agent ok
y	batalla	sustantivo	1637	Combate entre grupos armados en guerra o conflicto.	Combate entre grupos armados en guerra o conflicto.	agent ok
y	ilegal	adjetivo	1638	Que va contra lo que establece la ley.	Que va contra lo que establece la ley.	agent ok
y	recién	adverbio	1640	Hace muy poco tiempo que ocurrió algo.	Hace muy poco tiempo que ocurrió algo.	agent ok
y	electrónico	adjetivo	1641	Que funciona con electricidad y aparatos.	Que funciona con electricidad y aparatos.	agent ok [family flag: electricidad]
y	asociación	sustantivo	1642	Grupo de personas juntas por un fin común.	Grupo de personas juntas por un fin común.	agent ok
y	tono	sustantivo	1643	Manera de hablar que expresa un estado de ánimo.	Manera de hablar que expresa un estado de ánimo.	agent ok
y	precisamente	adverbio	1645	Indica certeza o claridad en algo.	Exactamente así, y no de otra manera.	agent fix: "Indica certeza o claridad" is vague and not the meaning (exactly/just)
y	ropa	sustantivo	1649	Conjunto de prendas para cubrir el cuerpo.	Conjunto de prendas para cubrir el cuerpo.	agent ok
y	parque	sustantivo	1650	Espacio verde con plantas y zonas de juego.	Espacio verde con plantas y zonas de juego.	agent ok
y	enviar	verbo	1651	Hacer llegar algo a otra persona.	Hacer llegar algo a otra persona.	agent ok
y	teatro	sustantivo	1654	Lugar donde se representan obras de arte.	Lugar donde actores representan obras ante un público.	agent fix: "obras de arte" means paintings/sculptures, wrong
y	documento	sustantivo	1656	Escrito que sirve como prueba o información.	Escrito que sirve como prueba o información.	agent ok
y	sentir	verbo	1658	Experimentar una emoción o sensación.	Experimentar una emoción o sensación.	agent ok
y	elegir	verbo	1659	Seleccionar una opción entre varias posibles.	Seleccionar una opción entre varias posibles.	agent ok
y	feliz	adjetivo	1663	Que siente alegría y satisfacción.	Que siente alegría y satisfacción.	agent ok
y	histórico	adjetivo	1665	Relacionado con hechos del pasado.	Relacionado con hechos del pasado.	agent ok
y	marcador	sustantivo	1667	Objeto que muestra el resultado de un partido.	Objeto que muestra el resultado de un partido.	agent ok
y	verde	adjetivo	1668	Color de las hojas de los árboles y las plantas.	Del color de las hojas de los árboles y las plantas.	agent fix: Adjective defined as a noun ("Color de...")
y	actuar	verbo	1669	Hacer algo o hacer algo de cierta forma.	Hacer algo o tener cierta conducta ante una situación.	agent fix: Vague and repetitive ("Hacer algo o hacer algo")
y	identidad	sustantivo	1672	Conjunto de cosas que hacen diferente a una persona.	Conjunto de cosas que hacen diferente a una persona.	agent ok
y	publicar	verbo	1674	Dar a conocer un escrito o una noticia.	Dar a conocer un escrito o una noticia.	agent ok
y	liga	sustantivo	1676	Competición deportiva entre varios equipos.	Competición deportiva entre varios equipos.	agent ok
y	huelga	sustantivo	1678	Paro laboral para exigir mejoras laborales.	Acción de dejar de trabajar para exigir mejoras laborales.	agent fix: "Paro laboral ... laborales" clumsy repetition; "paro" is ambiguous for learners
y	tamaño	sustantivo	1681	Medida de algo en altura o profundidad.	Lo grande o pequeño que es algo.	agent fix: "altura o profundidad" is wrong/partial; size is overall bigness
y	generar	verbo	1682	Producir o causar algo nuevo.	Producir o causar algo nuevo.	agent ok
y	positivo	adjetivo	1684	Que muestra acuerdo o ventaja frente a lo negativo.	Que es bueno o favorable.	agent fix: Confusing, unnatural definition ("frente a lo negativo")
y	acusación	sustantivo	1688	Dicho de que alguien hace un delito.	Acción de decir que alguien ha cometido un delito o falta.	agent fix: "Dicho de que alguien hace un delito" is ungrammatical
y	pelea	sustantivo	1690	Lucha física o discusión fuerte entre personas.	Lucha física o discusión fuerte entre personas.	agent ok
